2025-12-24 17:24:14,772 | BASE_PAGE | INFO | Opening the url "AppRoute.DASHBOARD"
2025-12-24 17:24:16,444 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-widget-title-text" at index "0"
2025-12-24 17:24:16,444 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Scores"
2025-12-24 17:24:16,454 | BASE_ELEMENT | INFO | Getting locator with "data-testid=scores-scatter-chart" at index "0"
2025-12-24 17:24:16,454 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2025-12-24 17:24:16,463 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-widget-title-text" at index "0"
2025-12-24 17:24:16,464 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-24 17:24:16,473 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-widget-title-text" at index "0"
2025-12-24 17:24:16,473 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Courses"
2025-12-24 17:24:16,483 | BASE_ELEMENT | INFO | Getting locator with "data-testid=courses-pie-chart" at index "0"
2025-12-24 17:24:16,483 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2025-12-24 17:24:16,494 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-widget-title-text" at index "0"
2025-12-24 17:24:16,494 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-24 17:24:16,503 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-widget-title-text" at index "0"
2025-12-24 17:24:16,503 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Students"
2025-12-24 17:24:16,512 | BASE_ELEMENT | INFO | Getting locator with "data-testid=students-bar-chart" at index "0"
2025-12-24 17:24:16,512 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
2025-12-24 17:24:16,521 | BASE_ELEMENT | INFO | Getting locator with "data-testid=activities-widget-title-text" at index "0"
2025-12-24 17:24:16,521 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2025-12-24 17:24:16,530 | BASE_ELEMENT | INFO | Getting locator with "data-testid=activities-widget-title-text" at index "0"
2025-12-24 17:24:16,530 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Activities"
2025-12-24 17:24:16,539 | BASE_ELEMENT | INFO | Getting locator with "data-testid=activities-line-chart" at index "0"
2025-12-24 17:24:16,539 | BASE_ELEMENT | INFO | Checking that image "Chart" is visible
